Ticker	Report Date	Shares Outstanding	Act	Est	Surp
FTNT US Equity	02/06/2019 (PM)	175800000	0.59	0.519	13.73%
GM US Equity	02/06/2019 (AM)	1432000000	1.433	1.224	17.10%
HUM US Equity	02/06/2019 (AM)	137529000	2.65	2.524	5.00%
JEC US Equity	02/06/2019 (AM)	143578000	1.14	1.038	9.86%
LLY US Equity	02/06/2019 (AM)	1018285000	1.33	1.337	-0.50%
LNC US Equity	02/06/2019 (PM)	214970179	2.15	2.124	1.24%
MET US Equity	02/06/2019 (PM)	987600000	1.35	1.282	5.32%
NOV US Equity	02/06/2019 (PM)	383000000	0.075	0.08	-6.27%
ORLY US Equity	02/06/2019 (PM)	80636000	3.725	3.752	-0.71%
PRU US Equity	02/06/2019 (AM)	421200000	2.44	2.78	-12.23%
REGN US Equity	02/06/2019 (AM)	114800000	6.84	5.609	21.95%
TTWO US Equity	02/06/2019 (PM)	114737000	2.898	2.796	3.62%
ADM US Equity	02/05/2019 (AM)	567000000	0.88	0.92	-4.35%
ALL US Equity	02/05/2019 (PM)	347100000	1.24	1.099	12.84%
AME US Equity	02/05/2019 (AM)	231333000	0.86	0.842	2.10%
ATO US Equity	02/05/2019 (PM)	113832000	1.38	1.327	3.98%
BDX US Equity	02/05/2019 (AM)	274256000	2.7	2.605	3.65%
CB US Equity	02/05/2019 (PM)	460600000	2.02	1.971	2.49%
CERN US Equity	02/05/2019 (PM)	330824000	0.63	0.633	-0.40%
CHD US Equity	02/05/2019 (AM)	252500000	0.57	0.584	-2.40%
CNC US Equity	02/05/2019 (AM)	420246000	0.69	0.663	4.07%
DIS US Equity	02/05/2019 (PM)	1498000000	1.84	1.542	19.36%
DLR US Equity	02/05/2019 (PM)	207113100	1.68	1.658	1.31%
EA US Equity	02/05/2019 (PM)	304000000	1.931	1.942	-0.54%
EL US Equity	02/05/2019 (AM)	369900000	1.74	1.546	12.56%
EMR US Equity	02/05/2019 (AM)	627800000	0.757	0.659	14.80%
GL US Equity	02/05/2019 (PM)	113667000	1.56	1.563	-0.21%
IT US Equity	02/05/2019 (AM)	91701000	1.2	1.247	-3.79%
JKHY US Equity	02/05/2019 (PM)	77409000	0.906	0.854	5.99%
MCHP US Equity	02/05/2019 (PM)	244600000	1.66	1.565	6.07%
RL US Equity	02/05/2019 (AM)	81200000	2.32	2.141	8.36%
SWKS US Equity	02/05/2019 (PM)	177700000	1.83	1.821	0.50%
TDG US Equity	02/05/2019 (AM)	56266000	3.85	3.431	12.22%
UNM US Equity	02/05/2019 (PM)	217441500	1.3	1.305	-0.41%
VIAB US Equity	02/05/2019 (AM)	403500000	1.12	1.024	9.41%
VRTX US Equity	02/05/2019 (PM)	259812000	1.3	1.079	20.43%
WCG US Equity	02/05/2019 (AM)	50555296	1.63	1.554	4.87%
AIV US Equity	02/04/2019 (AM)	149055946.3	0.65	0.649	0.11%
ALXN US Equity	02/04/2019 (AM)	223200000	2.14	1.839	16.38%
AMG US Equity	02/04/2019 (AM)	52500000	3.53	3.513	0.47%
AVB US Equity	02/04/2019 (PM)	138463943	2.31	2.32	-0.43%
CLX US Equity	02/04/2019 (AM)	130094000	1.4	1.303	7.43%
GOOGL US Equity	02/04/2019 (PM)	750149000	12.81	10.856	18.00%
HIG US Equity	02/04/2019 (PM)	364000000	0.78	0.577	35.13%
LEG US Equity	02/04/2019 (PM)	134700000	0.62	0.53	16.98%
STX US Equity	02/04/2019 (AM)	287000000	1.41	1.282	10.00%
AON US Equity	02/01/2019 (AM)	242400000	2.16	2.132	1.31%
CI US Equity	02/01/2019 (AM)	263421000	2.46	2.487	-1.09%
CVX US Equity	02/01/2019 (AM)	1906823000	2.098	1.868	12.30%
D US Equity	02/01/2019 (AM)	660900000	0.89	0.904	-1.58%
HON US Equity	02/01/2019 (AM)	743900000	1.91	1.889	1.11%
IDXX US Equity	02/01/2019 (AM)	87807000	0.975	0.903	7.97%
ITW US Equity	02/01/2019 (AM)	331600000	1.831	1.817	0.75%
JCI US Equity	02/01/2019 (AM)	925200000	0.26	0.24	8.33%
MRK US Equity	02/01/2019 (AM)	2634000000	1.04	1.035	0.53%
ROP US Equity	02/01/2019 (AM)	104500000	3.22	3.129	2.91%
SPG US Equity	02/01/2019 (AM)	309294000	3.23	3.223	0.21%
WY US Equity	02/01/2019 (AM)	750025000	0.1	0.114	-12.28%
XOM US Equity	02/01/2019 (AM)	4270000000	1.41	1.08	30.56%
ZBH US Equity	02/01/2019 (AM)	204000000	2.18	2.172	0.37%
ABC US Equity	01/31/2019 (AM)	213969000	1.6	1.521	5.21%
ABMD US Equity	01/31/2019 (AM)	46136000	0.97	0.946	2.50%
AFL US Equity	01/31/2019 (PM)	765103000	1.02	0.943	8.20%
AJG US Equity	01/31/2019 (PM)	187513000	0.53	0.515	2.98%
AMZN US Equity	01/31/2019 (PM)	501000000	6.04	5.555	8.73%
APTV US Equity	01/31/2019 (AM)	262610000	1.34	1.205	11.24%
BAX US Equity	01/31/2019 (AM)	538000000	0.78	0.729	6.94%
BLL US Equity	01/31/2019 (AM)	346274000	0.55	0.556	-1.05%
CHTR US Equity	01/31/2019 (AM)	230131933	1.664	1.483	12.20%
CMS US Equity	01/31/2019 (AM)	283300000	0.4	0.404	-0.99%
COP US Equity	01/31/2019 (AM)	1159305000	1.13	0.996	13.50%
DD US Equity	01/31/2019 (AM)	764299923.6	2.64	2.602	1.46%
EMN US Equity	01/31/2019 (PM)	141100000	1.39	1.603	-13.26%
ETN US Equity	01/31/2019 (AM)	432400000	1.46	1.432	1.96%
EW US Equity	01/31/2019 (PM)	212200000	1.17	1.17	-0.04%
FBHS US Equity	01/31/2019 (PM)	142600000	0.86	0.933	-7.77%
GE US Equity	01/31/2019 (AM)	8701000000	0.17	0.222	-23.38%
HSY US Equity	01/31/2019 (AM)	211060000	1.26	1.268	-0.59%
IP US Equity	01/31/2019 (AM)	406600000	1.65	1.589	3.82%
KIM US Equity	01/31/2019 (AM)	419886000	0.35	0.353	-0.71%
MA US Equity	01/31/2019 (AM)	1038000000	1.55	1.52	1.99%
MCK US Equity	01/31/2019 (PM)	195000000	3.4	3.162	7.53%
MMC US Equity	01/31/2019 (AM)	509000000	1.09	1.044	4.43%
MO US Equity	01/31/2019 (AM)	1877000000	0.95	0.95	0.00%
MSCI US Equity	01/31/2019 (AM)	89495000	1.31	1.299	0.84%
NOC US Equity	01/31/2019 (AM)	172700000	4.93	4.501	9.54%
PH US Equity	01/31/2019 (AM)	132311210	2.51	2.423	3.58%
PKI US Equity	01/31/2019 (PM)	111609000	1.18	1.164	1.35%
RTN US Equity	01/31/2019 (AM)	284700000	2.93	2.879	1.76%
SHW US Equity	01/31/2019 (AM)	94417893	3.54	3.609	-1.91%
TSCO US Equity	01/31/2019 (AM)	123172000	1.109	1.088	2.00%
UPS US Equity	01/31/2019 (AM)	869000000	1.94	1.902	2.01%
VLO US Equity	01/31/2019 (AM)	422000000	2.12	1.067	98.62%
WRK US Equity	01/31/2019 (AM)	259500000	0.83	0.805	3.11%
XEL US Equity	01/31/2019 (AM)	515000000	0.42	0.418	0.60%
XYL US Equity	01/31/2019 (AM)	180900000	0.88	0.879	0.14%
ADP US Equity	01/30/2019 (AM)	438000000	1.34	1.182	13.36%
AMP US Equity	01/30/2019 (PM)	143200000	3.8	3.572	6.38%
ANTM US Equity	01/30/2019 (AM)	264200000	2.44	2.196	11.14%
AVY US Equity	01/30/2019 (AM)	87200000	1.52	1.497	1.54%
BA US Equity	01/30/2019 (AM)	577500000	5.48	4.592	19.34%
BEN US Equity	01/30/2019 (AM)	510800000	0.54	0.659	-18.09%
DRE US Equity	01/30/2019 (PM)	362536000	0.35	0.351	-0.19%
ESS US Equity	01/30/2019 (PM)	66079796	3.19	3.182	0.26%
FB US Equity	01/30/2019 (PM)	2886000000	2.38	2.183	9.05%
GD US Equity	01/30/2019 (AM)	296400000	3.07	2.985	2.86%
HES US Equity	01/30/2019 (AM)	291500000	-0.31	-0.382	18.91%
HOLX US Equity	01/30/2019 (PM)	272372000	0.58	0.571	1.56%
IR US Equity	01/30/2019 (AM)	247700000	1.32	1.294	2.01%
IVZ US Equity	01/30/2019 (AM)	410100000	0.44	0.529	-16.77%
MAA US Equity	01/30/2019 (AM)	113880000	1.55	1.543	0.43%
MCD US Equity	01/30/2019 (AM)	776600000	1.97	1.886	4.47%
